 Código EAN;Nome do Produto;Categoria;Estoque atual;Giro mensal; Preço de custo ;
7891132001453;REFRESCO EM PÓ MID® ZERO SABOR MANGA 8G;Bebidas;473;1392; R$ 1,05 ;
7891132001286;REFRESCO EM PÓ MID® ZERO SABOR ABACAXI 8G;Bebidas;625;1153; R$ 1,05 ;
7891132083053;TEMPERO EM PÓ SAZÓN® PIPOCA SABOR MANTEIGA 60G;Temperos e Caldos;90;1017; R$ 4,57 ;
7891132083060;TEMPERO EM PÓ SAZÓN® PIPOCA SABOR CHURRASCO 60G;Temperos e Caldos;768;918; R$ 4,57 ;
7891132165926;CALDO EM PÓ SAZÓN® ENVELOPE SABOR GALINHA 11G;Food Service;734;665; R$ 0,77 ;
7891132082155;TEMPERO EM PÓ SAZÓN® PIPOCA SABOR CEBOLA E SALSA 60G;Temperos e Caldos;268;826; R$ 4,57 ;
7891132165964;CALDO EM PÓ SAZÓN® ENVELOPE SABOR CARNE 11G;Temperos e Caldos;1300;675; R$ 0,77 ;
7891132009961;REFRESCO EM PÓ MID® ZERO SABOR UVA 8G;Bebidas;113;792; R$ 1,05 ;
7891132082421;REFRESCO EM PÓ MID® SABOR BAUNILHA COM LIMÃO 20g;Bebidas;788;780; R$ 0,91 ;
7891132082285;REFRESCO EM PÓ MID® SABOR GROSELHA 20g;Bebidas;961;778; R$ 0,91 ;
7891132001019;REFRESCO EM PÓ MID® ZERO SABOR MARACUJÁ 8G;Bebidas;79;765; R$ 1,05 ;
7891132082469;REFRESCO EM PÓ MID® SABOR CAJÚ 20G;Bebidas;659;755; R$ 0,91 ;
7891132165636;TEMPERO SAZÓN® NA MEDIDA COM 10 VEGETAIS 30g;Temperos e Caldos;1363;201; R$ 2,91 ;
7891132165858;SAZÓN® TEMPERA E TRANSFORMA QUEIJO 16g;Temperos e Caldos;641;158; R$ 2,44 ;
7891132165285;SAZÓN® TEMPERA & RENDE MAIS 40g;Temperos e Caldos;237;102; R$ 3,77 ;
7891132165599;TEMPERO SAZÓN® MEU TOQUE ERVAS POUCH 10g;Temperos e Caldos;0;89; R$ 5,84 ;
7891132001057;REFRESCO EM PÓ MID® ZERO SABOR TANGERINA 10G;Bebidas;309;682; R$ 1,05 ;
7891132165674;TEMPERO SAZÓN® NA MEDIDA COM TOMATE 30g;Temperos e Caldos;525;230; R$ 2,91 ;
7891132165650;TEMPERO SAZÓN® NA MEDIDA COM CHEIRO VERDE 30g;Temperos e Caldos;151;180; R$ 2,91 ;
7891132165834;SAZÓN® TEMPERA E TRANSFORMA ALHO E CEBOLA 16g;Temperos e Caldos;232;146; R$ 2,44 ;
7891132165872;SAZÓN® TEMPERA E TRANSFORMA TOMATE 16g;Temperos e Caldos;308;137; R$ 2,44 ;
7891132165575;TEMPERO SAZÓN® MEU TOQUE CASEIRO POUCH 16g;Temperos e Caldos;129;89; R$ 5,84 ;
7891132165612;TEMPERO SAZÓN® MEU TOQUE TOMATE POUCH 12g;Temperos e Caldos;209;81; R$ 5,84 ;
7891132001460;REFRESCO EM PÓ MID® ZERO SABOR AMORA 8G;Bebidas;100;508; R$ 1,05 ;
